repo,doi,pmid,grant_funded,funding_sources,num_linked_grants,num_developer_grants,num_collaborator_grants,developer_project_nums,developer_core_nums,developer_orgs,developer_org_states,developer_agencies,developer_cost_by_currency,developer_cost_usd,all_org_names,all_agencies,total_cost_by_currency,total_cost_usd,earliest_project_start,latest_project_end,note
MLBazaar/Cardea,10.1109/DSAA49011.2020.00068,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
modelscope/ClearerVoice-Studio,10.21437/Interspeech.2025-680,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
modelix/modelix,10.1109/MODELS-C53483.2021.00011,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
modelscope/FunASR,10.21437/Interspeech.2023-1428,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
mprib/caliscope,10.21105/joss.07155,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
mqcomplab/Fanpy,10.1016/j.comptc.2021.113187,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
mretier/growthdash,10.1186/s12859-024-05692-y,38347472,True,Other,3,2,1,310030B-201265; 310030B,,,,Other,,,ETH Zurich,Other,CHF:1103183,,2021-05-01 00:00:00,2025-04-30 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
mriesch-tum/mbsolve,10.1016/j.cpc.2021.108097,,True,Other,1,1,0,JI 115/4-2,,,,Other,,,,Other,,,,,OK
MubarizZaffar/VPR-Bench,10.1007/s11263-021-01469-5,,True,Other,6,0,6,,,,,,,,,Other,GBP:28878147,,2017-04-30 00:00:00,2022-03-31 00:00:00,OK
muccg/rdrf,10.1016/j.bcmd.2017.01.013,28190666,True,Other,2,2,0,104746; REF 104746,,,,Other,,,,Other,,,2014-07-02 00:00:00,2017-04-10 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
MueFab/genie,10.1038/s42003-024-06249-8,38724695,True,Other,5,1,4,501100011033,,,,Other,,,Leibniz Universität Hannover,Other,EUR:1242178,,2022-09-01 00:00:00,2027-08-31 00:00:00,Not in NIH RePORTER (non-NIH funder via local snapshot)
MW55/Natrix,10.1186/s12859-020-03852-4,33198651,True,Other,3,3,0,BO 3245/19-1; BO 3245/19; Project BO 3245/19-1,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
nalmadi/fix8,10.3758/s13428-025-02597-3,39856463,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
nansencenter/sea_ice_drift,10.5194/tc-10-913-2016,,True,Other,2,1,1,239998/F50,,,,Other,,,Scientific foundation Nansen International Environmental and Remote Sensing Centre,Other,EUR:1994891,,2012-05-01 00:00:00,2015-10-31 00:00:00,OK
Nate711/StanfordDoggoProject,10.1109/ICRA.2019.8794436,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
NCCR-SYNAPSY/neurodatapub,10.21105/joss.03262,39469147,True,NIH; NSF; Other,9,0,9,,,,,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY; UNIV OF MASSACHUSETTS MED SCH WORCESTER; Dartmouth College; Otto-von-Guericke-Universität Magdeburg; Forschungszentrum Jülich GmbH,NIMH; NIBIB; NSF; Other,USD:3746509; EUR:802958,3746509.0,2014-09-01 00:00:00,2029-04-30T00:00:00,OK
nekStab/nekStab,10.1115/1.4056808,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
NEMRI-org/primo-optimizer,10.18141/2439193,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
NeuRRoLab/NeuRRoNav,10.3233/RNN-170751,29036851,True,NIH,1,0,1,,,,,,,,UNIVERSITY OF MICHIGAN AT ANN ARBOR,NIBIB,USD:213593,213593.0,2014-09-05T00:00:00,2019-05-31T00:00:00,OK
nichollsh/AGNI,10.21105/joss.07726,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
NIEHS/GeoTox,10.1186/s40246-024-00711-8,39827338,True,NIH; Other,2,2,0,ZIA ES103368; ZIA ES103368-02,,,,NIH; Other,,,,NIH; Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
